,Budget,Countries,Counts,Downloads,IMDB_ID,Ratings,Titles
15259,NaN,[USA],1,1048,tt1139115,5.9,Lost Book of Nostradamus (TV Movie 2007)
15260,NaN,"[Australia, USA]",1,271,tt0996966,7.7,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation! (2008)"
15261,NaN,[USA],3,3378,tt0996967,6.1,Otis (2008)
15262,NaN,[USA],1,681,tt2324998,6.3,Beyoncé: Life Is But a Dream (TV Movie 2013)
15263,NaN,[USA],1,351,tt0426535,5.3,Murder at the Presidio (TV Movie 2005)
15264,NaN,[South Korea],2,1121,tt0293715,8.2,My Sassy Girl (2001)
15265,NaN,[France],1,2241,tt0305568,5.7,Fanfan (2003)
15266,NaN,"[Denmark, Germany]",3,10384,tt0418455,7.9,Adam's Apples (2005)
15267,NaN,[USA],1,171,tt0100130,4.1,Megaville (1990)
15268,NaN,[UK],1,271,tt0421623,6.6,Animal Games (TV Movie 2004)
15269,NaN,"[USA, Germany, UK]",2,631,tt0233277,5.9,Back to the Secret Garden (2001)
15270,NaN,[Japan],1,80,tt0156015,6.4,Rimeinzu: Utsukushiki yuusha-tachi (1990)
15271,"$6,000,000","[Macedonia, Czech Republic, USA]",1,82,tt2069100,8.1,Treto poluvreme (2012)
15272,NaN,[UK],4,314,tt2781832,5.7,The Borderlands (2013)
15273,NaN,"[Croatia, UK, USA]",1,263,tt0106689,5.3,Detonator (TV Movie 1993)
15274,NaN,[USA],2,3642,tt1153100,4.9,Backwoods (TV Movie 2008)
15275,NaN,[Hungary],1,2045,tt3211306,,Elhallgatott gyalázat (TV Movie 2013)
15276,"$1,200,000",[UK],1,291,tt1351784,3.6,Psychosis (2010)
15277,NaN,[USA],1,60,tt0056023,5.4,Girls! Girls! Girls! (1962)
15278,NaN,[Hungary],1,166,tt0154528,,Gellérthegyi álmok (TV Movie 1975)
15279,NaN,[Hungary],1,203,tt0830896,5.7,Férfiakt (2006)
15280,NaN,"[Canada, France, USA]",1,105,tt1359553,5.6,The Chameleon (2010)
15281,"$2,000,000",[Bulgaria],1,1316,tt1359555,3.6,Lightning Strikes (TV Movie 2009)
15282,NaN,"[USA, Canada, Germany]",1,2625,tt1359554,6.0,High Noon (TV Movie 2009)
15283,NaN,[USA],1,557,tt0282418,5.0,The Rats (TV Movie 2002)
15284,NaN,[USA],1,125,tt0047641,6.0,Valley of the Kings (1954)
15285,"$10,000,000",[USA],2,1040,tt0106684,3.6,Deadfall (1993)
15286,"$160,000,000","[USA, UK]",16,131285,tt1270798,7.8,X-Men: First Class (2011)
15287,NaN,[USA],3,705,tt0082382,6.4,First Monday in October (1981)
15288,NaN,[USA],2,1185,tt1410013,6.8,Christmas in Canaan (TV Movie 2009)
15289,NaN,"[France, Italy]",1,298,tt0046998,7.5,French Cancan (1954)
15290,NaN,"[UK, USA, Australia, Japan]",4,2668,tt0421082,7.8,Control (2007)
15291,"$85,000,000","[USA, Germany]",7,21933,tt0411477,7.1,Hellboy II: The Golden Army (2008)
15292,NaN,[USA],6,5501,tt0411475,5.1,Hell Ride (2008)
15293,NaN,[Germany],2,960,tt1266150,6.5,Wir sind das Volk - Liebe kennt keine Grenzen (TV Movie 2008)
15294,"$16,400,000",[USA],2,2174,tt0101846,5.7,F/X2 (1991)
15295,NaN,"[Spain, Romania, Russia, France]",3,1128,tt1718747,5.7,Caníbal (2013)
15296,NaN,[USA],2,731,tt0167116,6.1,Desert Saints (2002)
15297,NaN,[India],2,401,tt2016894,5.3,Ek Tha Tiger (2012)
15298,NaN,"[USA, Belgium]",1,815,tt0330840,5.8,S.O.S. Planet (2002)
15299,"$6,000,000",[USA],2,3015,tt0425253,5.9,Mini's First Time (2006)
15300,NaN,"[Yugoslavia, Hungary, Austria, West Germany]",2,1515,tt0089716,7.6,Colonel Redl (1985)
15301,NaN,[USA],1,12,tt0080839,3.0,The Happy Hooker Goes Hollywood (1980)
15302,NaN,[Poland],2,1021,tt0089714,7.3,"O-bi, O-ba - Koniec cywilizacji (1985)"
15303,"$6,000,000",[USA],2,866,tt0126604,6.4,Pecker (1998)
15304,NaN,[USA],1,148,tt0157872,5.8,Justine: Crazy Love (1995)
15305,"$8,000,000",[USA],7,13282,tt1225822,6.2,Extract (2009)
15306,"$13,000,000",[USA],5,4170,tt0469263,6.3,The Astronaut Farmer (2006)
15307,NaN,[USA],1,649,tt0080836,5.3,Hangar 18 (1980)
15308,NaN,[USA],1,510,tt0841003,,Anatomy of an Earthquake (TV Movie 2006)
15309,"$30,000,000",[USA],1,1069,tt0116168,5.0,Eddie (1996)
15310,NaN,[USA],2,5582,tt0804452,2.6,Bratz (2007)
15311,NaN,[Hungary],1,371,tt0137061,7.3,Komédia a tetön (TV Short 1969)
15312,"$1,100,000",[USA],1,205,tt1682181,7.4,Bully (2011)
15313,"$12,000,000","[UK, USA]",14,40278,tt1682180,6.9,Stoker (2013)
15314,NaN,[Hungary],1,573,tt0137064,7.0,Kunkori és a Kandúrvarázsló (TV Movie 1980)
15315,"$3,500,000","[USA, UK]",1,1257,tt0120604,3.9,Beowulf (1999)
15316,"$3,500,000",[USA],1,1010,tt0369994,6.0,Strangers with Candy (2005)
15317,NaN,[France],1,701,tt0415932,6.7,Lemming (2005)
15318,"$13,000,000",[USA],2,901,tt0120609,6.1,The Big Hit (1998)
15319,NaN,[USA],2,937,tt0057083,5.7,Fun in Acapulco (1963)
