ID,Category,genre
1487166,Electronic,electronic
1487164,Pop,pop
1487157,Pop,pop
1487157,rock,rock
1487157,Pop,synthpop
1487157,Pop,europop
1487156,Electronic,house
1487154,Pop,pop
1487154,rock,rock
1487154,Pop,synthpop
1487154,Pop,europop
1487152,Pop,pop
1487152,rock,rock
1487152,Pop,synthpop
1487152,Pop,europop
1487151,Electronic,house
1487150,Electronic,house
1487149,Pop,pop
1487149,rock,rock
1487149,Pop,synthpop
1487149,Pop,europop
1487148,Electronic,chillout/ambient
1487148,Electronic,trance/techno
1487148,Electronic,chillout/ambient
1487147,Electronic,chillout/ambient
1487147,Electronic,trance/techno
1487147,Electronic,chillout/ambient
1487146,Electronic,chillout/ambient
1487146,Electronic,trance/techno
1487146,Electronic,chillout/ambient
1487145,Electronic,chillout/ambient
1487145,Electronic,trance/techno
1487145,Electronic,chillout/ambient
1487142,Pop,pop
1487142,rock,rock
1487142,Pop,synthpop
1487142,Pop,europop
1487141,Pop,pop
1487141,rock,rock
1487141,Pop,synthpop
1487141,Pop,europop
1487140,Pop,pop
1487140,rock,rock
1487140,Pop,synthpop
1487140,Pop,europop
1487139,rock,rock
1487139,rock,rock
1487131,Pop,europop
1487131,Electronic,trance/techno
1487126,Pop,pop
1487126,rock,rock
1487126,Pop,synthpop
1487126,Pop,europop
1487124,Pop,pop
1487124,rock,rock
1487124,Pop,synthpop
1487124,Pop,europop
1487121,Pop,pop
1487121,rock,rock
1487121,Pop,synthpop
1487121,Pop,europop
1487103,Other,blues
1487103,Other,blues
1487103,rock,rock
1487099,Electronic,trance/techno
1487072,Electronic,trance/techno
1487070,Electronic,trance/techno
1487068,Pop,dance
1487068,Pop,pop
1487068,Electronic,trance/techno
1487059,Electronic,electronic
1487052,Electronic,house
1487032,Pop,pop
1487029,rock,punk
1487029,rock,hardcore
1487019,Electronic,trance/techno
1487018,Electronic,drum'n'bass
1487018,Electronic,drum'n'bass
1487017,Other,ost
1487009,Other,blues
1487009,rock,rock
1487009,Other,blues
1487009,Other,soul
1487002,Electronic,electronic
1486989,Pop,pop
1486977,Other,audiobook
1486969,Pop,synthpop
1486969,Pop,pop
1486962,rock,punk
1486962,rock,punk
1486962,rock,rock
1486947,Electronic,chillout/ambient
1486947,rock,rock
1486944,Electronic,chillout/ambient
1486944,rock,rock
1486940,rock,hardcore
1486940,rock,rock
1486910,Pop,pop
1486905,rock,psychedelic-rock
1486897,Other,country
1486897,Pop,indie
1486897,rock,rock
1486896,rock,hardcore
1486895,rock,hardcore
1486850,Electronic,electronic
1486850,Hip-hop,funk
1486850,Other,soul
1486836,Electronic,house
1486816,Electronic,house
1486815,Electronic,electronic
1486807,Electronic,trance/techno
1486806,rock,dark-rock
1486806,rock,dark-rock
1486805,Electronic,house
1486804,Electronic,electronic
1486803,Electronic,house
1486801,Electronic,electronic
1486800,Electronic,trance/techno
1486799,Pop,pop
1486797,Electronic,house
1486795,Electronic,electronic
1486794,Electronic,trance/techno
1486793,Electronic,electronic
1486792,Pop,dance
1486791,Other,jazz
1486790,Electronic,house
1486789,Electronic,trance/techno
1486788,Electronic,trance/techno
1486787,Electronic,trance/techno
1486785,Pop,dance
1486784,Electronic,house
1486783,Electronic,house
1486782,Electronic,electronic
1486781,Pop,dance
1486780,Hip-hop,rap
1486779,Electronic,electronic
1486778,rock,rock
1486777,Electronic,electronic
1486776,rock,rock
1486750,rock,dark-rock
1486750,rock,dark-rock
1486749,Electronic,chillout/ambient
1486749,Other,folk
1486748,rock,dark-rock
1486748,rock,dark-rock
1486748,rock,psychedelic-rock
1486748,rock,rock
1486748,Electronic,psychedelic/acid/goa
1486748,rock,rock
1486746,rock,dark-rock
1486746,rock,dark-rock
1486746,rock,psychedelic-rock
1486746,rock,rock
1486746,Electronic,psychedelic/acid/goa
1486746,rock,rock
