TorrentID,Genre
1487408,Ambient
1487405,ost
1487402,rock
1487402,rock
1487402,and
1487402,roll
1487399,Ambient
1487399,Downtempo
1487397,alternative
1487397,rock
1487395,techno
1487392,house
1487383,pop
1487376,post
1487376,hardcore
1487376,metal
1487376,core
1487375,Dance
1487375,Electronic
1487373,house
1487372,house
1487371,techno
1487365,blues
1487365,rock
1487364,house
1487362,garage
1487359,ost
1487355,garage
1487353,house
1487318,ost
1487314,garage
1487311,electronic
1487311,electropop
1487311,synth-pop
1487311,nu-disco
1487311,live1488363
1487306,drum
1487306,and
1487306,bass
1487303,hip
1487303,hop
1487296,rock
1487284,Dub
1487284,Techno
1487284,Ambient
1487284,Techno
1487281,Ambient
1487281,Dub
1487281,Techno
1487281,Techno
1487281,IDM
1487271,power
1487271,metal
1487266,death
1487266,metal
1487259,rock
1487259,metal
1487255,hardcore
1487255,punk
1487246,chanson
1487241,hard
1487241,rock
1487236,power
1487236,dark
1487236,metal
1487223,ambient
1487222,dance
1487215,indie
1487214,indie
1487213,house
1487201,house
1487196,trance
1487188,electronic
1487188,tech
1487188,house
1487176,goa
1487175,pop
1487174,funk
1487173,trance
1487172,rock
1487169,Trance
1487169,Euro
1487169,House
1487166,industrial
1487164,pop
1487157,Pop
1487157,Rock
1487157,Synthpop
1487157,Eurodisco
1487156,house
1487154,Pop
1487154,Rock
1487154,Synthpop
1487154,Eurodisco
1487152,Pop
1487152,Rock
1487152,Synthpop
1487152,Eurodisco
1487151,house
1487150,house
1487149,Pop
1487149,Rock
1487149,Synthpop
1487149,Eurodisco
1487148,ambient
1487148,breaks
1487148,downtempo
1487147,ambient
1487147,breaks
1487147,downtempo
1487146,ambient
1487146,breaks
1487146,downtempo
1487145,ambient
1487145,breaks
1487145,downtempo
1487142,Pop
1487142,Rock
1487142,Synthpop
1487142,Eurodisco
1487141,Pop
1487141,Rock
1487141,Synthpop
1487141,Eurodisco
1487140,Pop
1487140,Rock
1487140,Synthpop
1487140,Eurodisco
1487139,progressive
1487139,rock
1487131,Eurodance
1487131,Trance
1487126,Pop
1487126,Rock
1487126,Synthpop
1487126,Eurodisco
1487124,Pop
1487124,Rock
1487124,Synthpop
1487124,Eurodisco
1487121,Pop
1487121,Rock
1487121,Synthpop
1487121,Eurodisco
1487103,modern
1487103,electric
1487103,blues
1487103,blues
1487103,rock
1487099,techno
1487072,techno
1487070,techno
1487068,Dance
1487068,Music
1487068,Pop
1487068,Trance
1487059,electronic
1487052,house
1487032,pop
1487032,70s
1487029,punk
1487029,hardcore
1487019,trance
1487018,drum
1487018,and
1487018,bass
1487017,ost
